"DateTime","CalibValid","discharge","quickflow","baseflow","temp_min","temp_max","precip","Observed","local","local_bfs","all_ws","all_ws_attr","all_ws_bfs","all_ws_bfs_attr"
"2017-01-11","Valid",249,6.09814349938964,242.90185650061,-133,11,114,4.05,3.8435097,3.8849568,3.257818,3.7502077,3.358274,3.8220344
"2017-01-12","Valid",248,5.55204702636718,242.447952973633,-128,-89,3,3.95,3.688943,3.7376168,3.2355235,3.6918187,3.302981,3.7162213
"2017-01-13","Valid",247,4.96167246093751,242.038327539062,-200,-83,0,3.97,3.7689319,3.7935264,3.221704,3.7614563,3.3198469,3.8610578
"2017-01-14","Valid",246,4.32342968750001,241.6765703125,-200,-128,0,3.9899998,3.8821478,3.882744,3.2441945,3.8454337,3.3633113,3.965064
"2017-01-15","Valid",245,3.63343750000001,241.3665625,-189,-56,0,4.04,3.9746974,3.968749,3.2526646,3.9065676,3.3779783,4.006503
"2017-01-16","Valid",244,2.88749999999999,241.1125,-194,-22,0,4.0699997,3.9737136,3.9688363,3.2567933,3.8751972,3.388747,3.9932766
"2017-01-17","Valid",241,0,241,-111,0,109,4,3.95607,3.9436421,3.2542772,3.8620129,3.3832192,3.9445171
"2017-01-18","Valid",241,0,241,-6,11,0,3.94,3.7715268,3.797182,3.2060027,3.7405937,3.3348656,3.8162303
"2017-01-19","Valid",257,15.9775,241.0225,-28,50,0,3.8899999,3.6257644,3.6520507,3.139784,3.6210165,3.368819,3.6165583
"2017-01-20","Valid",278,36.86134375,241.13865625,-11,11,0,3.62,3.512751,3.499796,3.1701164,3.564501,3.5430539,3.4068973
"2017-01-21","Valid",300,58.55320625,241.44679375,6,17,56,3.54,3.4347117,3.3875883,3.189962,3.4612608,3.6085954,3.307635
"2017-01-22","Valid",350,107.920819316406,242.079180683594,6,22,0,3.5,3.2649596,3.202843,3.2671773,3.2413409,3.5625882,3.1978135
"2017-01-23","Valid",407,163.762834887695,243.237165112305,6,33,0,3.34,3.1343856,3.045546,3.4189837,2.9782746,3.5785604,2.9294534
"2017-01-24","Valid",417,171.916962264636,245.083037735364,11,39,0,3.16,2.9470444,2.832975,3.5567956,2.7172384,3.638386,2.615021
"2017-01-25","Valid",377,129.751791523978,247.248208476022,0,28,36,3.11,2.8088892,2.7052462,3.5469022,2.6839974,3.6388192,2.5325594
"2017-01-26","Valid",345,95.7466254963902,249.25337450361,-28,11,38,3.1,2.7711697,2.7056663,3.5061462,2.7953093,3.6360006,2.6550117
"2017-01-27","Valid",336,84.9777253901672,251.022274609833,-56,6,0,3.13,2.8460145,2.8108003,3.4477642,2.9353507,3.5934541,2.8287828
"2017-01-28","Valid",319,66.4590854478652,252.540914552135,-72,-28,0,3.25,2.9945233,2.962649,3.383076,3.0633814,3.5253608,2.9392426
"2017-01-29","Valid",302,48.1971251471616,253.802874852838,-67,-22,0,3.37,3.157091,3.1247048,3.2763612,3.2675464,3.4149122,3.1355653
"2017-01-30","Valid",289,34.1806140603577,254.819385939642,-156,-44,0,3.5,3.2746482,3.241079,3.1997125,3.3576543,3.3049035,3.2535331
"2017-01-31","Valid",272,16.357168948572,255.642831051428,-144,-67,74,3.6100001,3.4657996,3.4217234,3.1558294,3.5321975,3.2936237,3.4865239
"2017-02-01","Valid",272,15.6590377020141,256.340962297986,-89,0,8,3.6,3.5299153,3.5286071,3.1143968,3.5716455,3.261632,3.6912832
"2017-02-02","Valid",271,14.0546100631036,256.945389936896,-167,-33,0,3.66,3.5227005,3.5365653,3.0934014,3.4950643,3.2315521,3.5528882
"2017-02-03","Valid",269,11.5341293772794,257.465870622721,-178,-100,0,3.83,3.6350107,3.6168463,3.1401176,3.6156394,3.2953346,3.6137705
"2017-02-04","Valid",266,8.08226839712802,257.917731602872,-183,-78,0,3.88,3.768028,3.738626,3.1376355,3.725387,3.3562713,3.8224776
"2017-02-05","Valid",268,9.68423117749967,258.3157688225,-128,-22,0,3.9099998,3.837173,3.8108678,3.1695669,3.7687812,3.4059358,3.8814764
"2017-02-06","Valid",263,4.32858962043719,258.671410379563,-133,-17,0,3.72,3.7858517,3.7683594,3.1901338,3.7039316,3.4355416,3.7296827
"2017-02-07","Valid",268,8.99691414890441,259.003085851096,-133,17,0,3.64,3.7606099,3.7322516,3.1866179,3.7114525,3.4307742,3.6667604
"2017-02-08","Valid",268,8.66954793148659,259.330452068513,-100,-6,5,3.62,3.7106862,3.6773517,3.1834216,3.6654997,3.450838,3.5749474
"2017-02-09","Valid",279,19.3331975858273,259.666802414173,-178,-83,0,3.71,3.6626842,3.6307805,3.1831522,3.6250205,3.4493065,3.5475554
"2017-02-10","Valid",273,13.0040543287791,259.995945671221,-172,-50,0,3.84,3.7673032,3.7219167,3.2165291,3.7028742,3.5183933,3.727847
"2017-02-11","Valid",279,18.7062912028825,260.293708797118,-94,28,0,3.74,3.8009953,3.7741976,3.2187724,3.7341976,3.4872608,3.8352575
"2017-02-12","Valid",279,18.4433851838003,260.5566148162,-11,33,5,3.59,3.6744413,3.6721177,3.2259812,3.6075358,3.4848518,3.5370972
"2017-02-16","Valid",263,1.7313196188889,261.268680381111,-72,-22,0,3.62,3.369963,3.345998,3.1338863,3.4240532,3.2558131,3.433201
"2017-02-17","Valid",264,2.60006439747224,261.399935602528,-72,-6,0,3.63,3.4444427,3.4137971,3.11585,3.4587915,3.2185576,3.5784056
"2017-02-18","Valid",281,19.4506337864118,261.549366213588,-61,111,0,3.47,3.4706402,3.4479644,3.1218386,3.439145,3.203156,3.625572
"2017-02-19","Valid",312,50.1936799047747,261.806320095225,-17,117,0,3.23,3.3320704,3.3331192,3.1241198,3.25524,3.2617319,3.3800004
"2017-02-20","Valid",363,100.663359290335,262.336640709665,-6,139,0,2.92,3.1502292,3.1574664,3.1844926,2.9593427,3.343609,3.0848086
